Rank,Player,Team,Salary
133,Trevor Booker\booketr01,PHI,9125000
134,Dwight Powell\poweldw01,DAL,9003125
135,Jerryd Bayless\bayleje01,PHI,9000000
136,Avery Bradley\bradlav01,LAC,8808989
137,JaMychal Green\greenja01,MEM,8533333
138,E'Twaun Moore\mooreet01,NOP,8445024
139,Rudy Gay\gayru01,SAS,8406000
140,Kosta Koufos\koufoko01,SAC,8393000
141,Markieff Morris\morrima02,WAS,8000000
142,Vince Carter\cartevi01,SAC,8000000
143,Garrett Temple\templga01,SAC,8000000
144,C.J. Miles\milescj01,TOR,7936509
145,Cristiano Felicio\feliccr01,CHI,7843500
146,Shaun Livingston\livinsh01,GSW,7692308
147,Cory Joseph\josepco01,IND,7630000
148,P.J. Tucker\tuckepj01,HOU,7590035
149,Corey Brewer\breweco01,LAL,7579366
150,Andrew Wiggins\wiggian01,MIN,7574322
151,Darrell Arthur\arthuda01,DEN,7464912
152,Channing Frye\fryech01,LAL,7420912
153,Trevor Ariza\arizatr01,HOU,7420912
154,Al-Farouq Aminu\aminual01,POR,7319035
155,Cole Aldrich\aldrico01,MIN,7300000
156,D.J. Augustin\augusdj01,ORL,7250000
157,Markelle Fultz\fultzma01,PHI,7026240
158,Lou Williams\willilo02,LAC,7000000
159,Kyle Korver\korveky01,CLE,7000000
160,Jeremy Lamb\lambje01,CHO,7000000
161,Boban Marjanovic\marjabo01,LAC,7000000
162,Jae Crowder\crowdja01,UTA,6796117
163,Jabari Parker\parkeja01,MIL,6782392
164,Langston Galloway\gallola01,DET,6666667
165,Lance Thomas\thomala01,NYK,6655325
166,Ed Davis\davised01,POR,6352531
167,Marco Belinelli\belinma01,ATL,6306060
168,Jonathon Simmons\simmojo02,ORL,6300000
169,Lonzo Ball\balllo01,LAL,6286560
170,Wayne Ellington\ellinwa01,MIA,6270000
171,Isaiah Thomas\thomais02,LAL,6261395
172,Karl-Anthony Towns\townska01,MIN,6216840
173,Ben Simmons\simmobe01,PHI,6168840
174,Joel Embiid\embiijo01,PHI,6100266
175,Spencer Hawes\hawessp01,MIL,6021175
176,Josh McRoberts\mcrobjo01,DAL,6021175
177,Ish Smith\smithis01,DET,6000000
178,Alan Williams\willial03,PHO,6000000
179,Shelvin Mack\macksh01,ORL,6000000
180,Milos Teodosic\teodomi01,LAC,6000000
181,Ersan Ilyasova\ilyaser01,ATL,6000000
182,Dewayne Dedmon\dedmode01,ATL,6000000
183,Tyler Johnson\johnsty01,MIA,5881260
184,Wesley Johnson\johnswe01,LAC,5881260
185,Alex Abrines\abrinal01,OKC,5725000
186,Jayson Tatum\tatumja01,BOS,5645400
187,D'Angelo Russell\russeda01,BRK,5562360
188,Brandon Ingram\ingrabr01,LAL,5519400
189,Patrick Beverley\beverpa01,LAC,5513514
190,Aaron Gordon\gordoaa01,ORL,5504420
191,Deron Williams\willide01,BRK,5500000
192,Josh Smith\smithjo03,DET,5400000
193,Thabo Sefolosha\sefolth01,UTA,5250000
194,Jason Smith\smithja02,WAS,5225000
195,Ben McLemore\mclembe01,MEM,5200000
196,Patrick Patterson\pattepa01,OKC,5192000
197,Nick Young\youngni01,GSW,5192000
198,Brandan Wright\wrighbr03,MEM,5179760
199,Josh Jackson\jacksjo02,PHO,5090040
200,Marcus Morris\morrima03,BOS,5000000
201,Dirk Nowitzki\nowitdi01,DAL,5000000
202,Greg Monroe\monrogr01,BOS,5000000
203,Mike Muscala\muscami01,ATL,5000000
204,Jahlil Okafor\okafoja01,BRK,4995120
205,Dante Exum\exumda01,UTA,4992385
206,Alexis Ajinca\ajincal01,NOP,4961798
207,Jaylen Brown\brownja02,BOS,4956480
208,Jameer Nelson\nelsoja01,DEN,4736050
209,Kyle Singler\singlky01,OKC,4666500
210,Justin Holiday\holidju01,CHI,4615385
211,De'Aaron Fox\foxde01,SAC,4609200
212,Marcus Smart\smartma01,BOS,4538020
213,Kristaps Porzingis\porzikr01,NYK,4503600
214,Dragan Bender\bendedr01,PHO,4468800
215,Devin Harris\harride01,DEN,4402546
216,Ron Baker\bakerro01,NYK,4328000
217,Jamal Crawford\crawfja01,MIN,4328000
218,Aron Baynes\baynear01,BOS,4328000
219,Alex Len\lenal01,PHO,4187599
220,Nerlens Noel\noelne01,DAL,4187599
221,Jonathan Isaac\isaacjo01,ORL,4186320
222,Lance Stephenson\stephla01,IND,4180000
223,Julius Randle\randlju01,LAL,4149242
224,Kyle O'Quinn\oquinky01,NYK,4087500
225,Mario Hezonja\hezonma01,ORL,4078320
226,Kris Dunn\dunnkr01,CHI,4046760
227,Jonas Jerebko\jerebjo01,UTA,4000000
228,Nemanja Bjelica\bjeline01,MIN,3949999
229,J.J. Barea\bareajo01,DAL,3903900
230,Quincy Pondexter\pondequ01,CHI,3853931
231,Lauri Markkanen\markkla01,CHI,3821640
232,Nik Stauskas\stausni01,BRK,3807146
233,Willie Cauley-Stein\caulewi01,SAC,3704160
234,Buddy Hield\hieldbu01,SAC,3675480
235,Will Barton\bartowi01,DEN,3533333
236,Noah Vonleh\vonleno01,CHI,3505233
237,Frank Ntilikina\ntilila01,NYK,3501120
238,Nene Hilario\hilarne01,HOU,3477600
239,Zaza Pachulia\pachuza01,GSW,3477600
240,Troy Daniels\danietr01,PHO,3408520
241,Emmanuel Mudiay\mudiaem01,NYK,3381480
242,Jamal Murray\murraja01,DEN,3355320
243,Elfrid Payton\paytoel01,PHO,3332340
244,Rajon Rondo\rondora01,NOP,3300000
245,Doug McDermott\mcderdo01,DAL,3294994
246,Jodie Meeks\meeksjo01,WAS,3290000
247,Tyreke Evans\evansty01,MEM,3290000
248,Tarik Black\blackta01,HOU,3290000
249,Anthony Tolliver\tollian01,DET,3290000
250,Dennis Smith\smithde03,DAL,3218280
251,Zach LaVine\lavinza01,CHI,3202217
